,title,video_id,Published At,Keyword,Likes,Comments,Views
1535,Electronic Computing: Crash Course Computer Science #2,LN0ucKNX0hc,01-03-2017,computer science,32189.0,878.0,1750656.0
1536,My College Advice for Computer Science Majors (after graduating 6 years ago),DUnjnfcpn3M,10-06-2020,computer science,11395.0,542.0,282641.0
1537,Data Structures - Computer Science Course for Beginners,zg9ih6SVACc,08-09-2020,computer science,22667.0,588.0,939411.0
1538,Conquering Math as a Computer Science Student,yKJz5IntDW8,10-08-2018,computer science,4440.0,307.0,95826.0
1539,Kirby’s Dream Buffet – Overview Trailer – Nintendo Switch,mQqVCYDD3sA,11-08-2022,nintendo,40994.0,3946.0,1115596.0
1540,Sonic Frontiers - Story Trailer - Nintendo Switch,zDZAbmxP7Yw,23-08-2022,nintendo,33773.0,4225.0,655844.0
1541,Top 10 Nintendo 3DS Games| The Completionist,Yaf9h-Rceus,24-08-2022,nintendo,5333.0,883.0,87181.0
1542,Splatoon 3 Direct - Nintendo Switch,aiuIZN0KDFQ,10-08-2022,nintendo,93512.0,11770.0,2467290.0
1543,Nintendo&#39;s Surprising Event Revealed And Tons of New Games Get Announced | News Wave,z7SGxS0h8YQ,24-08-2022,nintendo,4996.0,791.0,86658.0
1544,Nintendo Direct Mini: Partner Showcase | 6.28.2022,dKB3WXRWTCM,28-06-2022,nintendo,93420.0,11201.0,2745019.0
1545,We&#39;ve Played Splatoon 3 - Is It Any Good?,I0wIauQ0wMs,24-08-2022,nintendo,2677.0,390.0,51017.0
1546,Mario Kart 8 Deluxe — Booster Course Pass - Wave 2 Release Date - Nintendo Switch,xBly7QHQkYA,28-07-2022,nintendo,88302.0,10753.0,2173854.0
1547,Nintendo Switch OLED Kirby Edition,uS5exTLvQVo,24-08-2022,nintendo,959.0,87.0,9269.0
1548,Xenoblade Chronicles 3 Direct - Nintendo Switch,hoHvpS2x8us,22-06-2022,nintendo,27953.0,6430.0,848504.0
1549,ON A JOUE A SPLATOON 3 EN AVANT PREMIERE SUR NINTENDO SWITCH !,_sapOflid6o,24-08-2022,nintendo,3465.0,317.0,59232.0
1550,Denuvo Is Bringing DRM To Nintendo Switch - And This Is NOT GOOD!,QrW6gVz7H5M,24-08-2022,nintendo,2208.0,837.0,37340.0
1551,Nintendo Switch games that will be NOSTALGIC...,U_VQPOYJxpI,24-08-2022,nintendo,7455.0,160.0,71578.0
1552,LEGO Star Wars: The Skywalker Saga Nintendo Switch NEW PATCH Review!,tDdvopwhCaE,23-08-2022,nintendo,697.0,120.0,17418.0
1553,Deep Cut: Anarchy Rainbow - Splatoon 3 - Nintendo Switch,DtMOAvOWTvY,10-08-2022,nintendo,59959.0,5338.0,1310018.0
1554,"🚨 DÉPÊCHEZ-VOUS 🚨 Ces PROMOS disparaissent bientôt du PS Store, Xbox Store, Nintendo eShop...",96mrgd8-3yE,24-08-2022,nintendo,406.0,57.0,13184.0
1555,Nintendo&#39;s Big Switch Reveal Means No Direct? + PSVR 2 Coming Soon!,cCyPBq_u638,23-08-2022,nintendo,1897.0,349.0,36948.0
1556,This &quot;Nintendo Switch Lite OLED PRO&quot; can play ANYTHING!,T17B7v6T8W4,23-08-2022,nintendo,7166.0,897.0,156610.0
1557,Splatoon 3 Direct – 10/08/2022,QkQ2TlVoXVg,10-08-2022,nintendo,4122.0,567.0,112040.0
1558,Nintendo Switch: Unboxing &amp; Review,y9b2vxjP0po,09-03-2017,nintendo,54951.0,6290.0,5370346.0
1559,Nintendo Switch ATTENTION HOGWARTS LEGACY DIFFERENCES 😱❌⚠️ &amp; COLLECTOR à 300€ &amp; PAS SUR SWITCH ❌,LL2H1ksXocA,24-08-2022,nintendo,760.0,80.0,11630.0
1560,18 AMAZING Nintendo Switch secrets! 🔥😱🤯,tOtVkaGqtbQ,31-07-2022,nintendo,3769.0,590.0,180396.0
1561,Nintendo Switch OLED Review Vs Original | One Month Later,TlBU5LfBEcM,03-11-2021,nintendo,8058.0,662.0,566503.0
1562,Pokémon Presents | 08.03.2022,ojiBuA97rdc,03-08-2022,nintendo,119930.0,11926.0,3432799.0
1563,Evolution of Nintendo [1889-2022],q6S7VOi3E5k,06-03-2021,nintendo,92823.0,5623.0,8295441.0
1564,Splatoon 3: Early Switch Multiplayer Hands-on - How Is Nintendo&#39;s Shooter Shaping Up?,JDB-Vm4eqTk,24-08-2022,nintendo,2104.0,481.0,46065.0
1565,OLED Nintendo Switch Unboxing!,46C33cO4A3c,15-11-2021,nintendo,20892.0,976.0,640120.0
1566,The WEIRD Nintendo Switch Accessories on Amazon,aJ8ZOtE--_g,29-09-2021,nintendo,79878.0,3067.0,2750006.0
1567,"I Customized A Nintendo Switch In 10 Hours, 1 Hour, 10 Minutes, 1 Minute &amp; 10 Seconds - Challenge",28RxpkcVAFw,28-02-2021,nintendo,565673.0,35186.0,31667627.0
1568,Nintendo employees when their joycons drift,sgNyDjjDCD4,26-02-2021,nintendo,350411.0,15822.0,6058858.0
1569,Nintendo BIG ANNOUNCEMENT Revealed Just Now…,kmgWldPQ6t0,23-08-2022,nintendo,2179.0,324.0,55298.0
1570,Top 10 Must Have Nintendo Switch Games! 2022 Guide,AsuXEeDKRoQ,17-05-2022,nintendo,7785.0,331.0,621651.0
1571,Bayonetta 3 - Release Date Revealed - Nintendo Switch,gOGJGv6OoXA,13-07-2022,nintendo,43557.0,4766.0,514758.0
1572,Nintendo Switch Online Is About To Get VERY Interesting In 2022...,LoumzWmxUDo,16-08-2022,nintendo,3016.0,573.0,56101.0
1573,Splatoon 3 DEBERÍA SER GRATIS: Jugamos EL MEJOR SHOOTER ONLINE 🐙 (Nintendo Switch),LKkUMbagFcc,24-08-2022,nintendo,2118.0,245.0,35759.0
